"","Blongum_20_1_S82_aligned.bam","Blongum_20_2_S83_aligned.bam","Blongum_20_3_S84_aligned.bam","Blongum_20_4_S85_aligned.bam","Blongum_20_5_S86_aligned.bam","Blongum_200_1_S87_aligned.bam","Blongum_200_2_S88_aligned.bam","Blongum_200_3_S89_aligned.bam","Blongum_200_4_S90_aligned.bam","Blongum_200_5_S91_aligned.bam","Blongum_Veh_1_S77_aligned.bam","Blongum_Veh_2_S78_aligned.bam","Blongum_Veh_3_S79_aligned.bam","Blongum_Veh_4_S80_aligned.bam","Blongum_Veh_5_S81_aligned.bam"
"BLLJ_RS00950",68,116,156,141,92,136,106,53,115,184,88,133,65,98,114
"BLLJ_RS00955",37,64,104,83,48,69,39,25,40,79,32,82,46,44,51
"BLLJ_RS00960",64,68,92,111,48,202,112,91,176,187,69,85,51,66,62
"BLLJ_RS00965",57,103,84,135,67,212,145,106,165,173,69,71,49,73,48
"BLLJ_RS00970",620,805,1166,919,619,1744,1045,771,1108,2069,794,1050,704,656,857
"BLLJ_RS00975",926,1211,1498,1503,850,2828,1820,1262,1903,3325,1128,1428,988,1106,1112
"BLLJ_RS00980",145,216,282,281,172,286,241,85,167,265,161,252,159,200,188
"BLLJ_RS00985",208,391,477,447,248,710,568,289,479,845,260,339,214,241,251
"BLLJ_RS00990",180,239,344,281,185,424,292,144,301,477,176,200,144,164,142
"BLLJ_RS01000",258,369,467,456,286,456,361,212,353,622,302,372,268,306,298
"BLLJ_RS01005",141,186,262,211,138,322,204,101,146,216,181,221,112,167,134
"BLLJ_RS01010",67,74,103,121,66,142,99,49,120,103,95,119,85,70,81
"BLLJ_RS01015",536,885,1130,1120,681,523,450,278,529,1040,500,536,360,542,451
"BLLJ_RS01020",410,614,866,812,484,432,283,161,223,416,526,557,357,410,281
"BLLJ_RS01025",184,244,341,378,189,413,246,144,264,361,254,304,204,192,197
"BLLJ_RS01030",91,117,138,155,92,102,76,38,103,153,89,117,57,79,75
"BLLJ_RS01035",129,205,268,264,151,116,89,53,110,179,130,186,112,164,129
"BLLJ_RS01040",216,319,376,376,216,594,374,209,391,575,231,315,173,245,257
"BLLJ_RS01045",131,247,334,305,199,358,248,140,305,559,193,271,166,240,238
"BLLJ_RS01050",89,128,196,199,97,353,220,152,329,425,140,277,140,175,220
"BLLJ_RS01055",1226,1791,2574,2083,1373,1381,948,649,1555,1725,1644,2238,1005,1623,1432
"BLLJ_RS01060",1208,1628,2298,2211,1368,2158,1432,1140,1685,3167,1310,1599,972,1237,1128
"BLLJ_RS01065",979,1524,2094,2126,1175,1243,872,432,1138,1595,1351,1837,1123,1499,1273
"BLLJ_RS01075",4139,5994,7902,7380,4238,4841,3684,2338,3663,8617,5016,5456,3657,5103,5147
"BLLJ_RS01080",433,550,781,799,556,853,587,283,409,891,510,686,495,460,437
"BLLJ_RS01085",327,381,415,479,336,479,348,196,324,636,338,348,282,342,281
"BLLJ_RS01090",530,814,974,1069,679,796,533,333,496,1185,618,679,557,564,530
"BLLJ_RS01095",1721,2519,3474,3525,1928,2738,1786,1069,1619,3322,2492,3655,2163,2491,2783
"BLLJ_RS01100",231,338,474,457,296,451,290,134,246,549,430,545,312,347,439
"BLLJ_RS01105",184,259,362,364,179,406,271,202,301,450,216,323,229,246,234
"BLLJ_RS01110",1580,2103,2729,2877,1685,2897,2017,1086,1989,2653,1591,2211,1509,1649,1376
"BLLJ_RS11090",29,32,44,25,15,22,12,5,17,13,19,39,16,26,8
"BLLJ_RS01120",1036,1810,2199,2250,1034,1973,1510,607,1189,1858,1298,1621,1094,1433,1337
"BLLJ_RS01125",1171,1804,2418,2471,1402,1650,1324,719,1068,2227,1374,1395,995,1327,1232
"BLLJ_RS01130",493,699,878,977,436,551,520,272,437,817,517,497,438,552,499
"BLLJ_RS01135",833,1264,1669,1605,967,873,697,414,617,1239,837,954,781,745,688
"BLLJ_RS01145",36,47,51,46,28,32,35,8,37,35,40,53,20,46,33
"BLLJ_RS01150",289,414,475,552,336,314,215,84,226,309,349,377,246,289,260
"BLLJ_RS01155",189,329,388,405,181,77,61,35,74,148,145,171,126,160,117
"BLLJ_RS01160",353,459,562,640,344,596,454,239,398,596,352,410,248,318,273
"BLLJ_RS01165",39,81,85,113,64,86,54,32,58,60,83,103,68,90,72
"BLLJ_RS01170",386,477,604,713,348,718,487,323,574,883,444,804,440,500,416
"BLLJ_RS01175",185,267,328,282,204,277,158,150,198,318,208,296,153,217,183
"BLLJ_RS01180",109,127,148,156,76,195,118,49,87,118,98,148,105,119,77
"BLLJ_RS01185",130,180,192,229,183,216,118,50,116,169,172,192,117,162,151
"BLLJ_RS01190",218,344,432,404,217,220,193,81,177,296,267,280,192,277,186
"BLLJ_RS01195",461,730,941,971,608,635,510,214,435,725,492,677,404,584,485
"BLLJ_RS01200",1557,2118,2596,2732,1320,3557,2329,1494,2316,2806,1667,2158,1521,1617,1525
"BLLJ_RS01205",211,318,383,444,190,513,327,192,262,367,217,352,247,222,213
"BLLJ_RS01210",92,119,150,178,86,99,57,46,65,106,112,118,111,93,99
"BLLJ_RS01215",3259,4728,5982,6697,3573,7168,4811,2801,5345,8155,3806,5059,3411,4357,3356
"BLLJ_RS01220",906,1199,1469,1619,862,793,566,224,561,880,717,964,588,903,696
"BLLJ_RS01225",469,516,731,780,402,854,542,363,668,774,473,639,465,459,410
"BLLJ_RS01230",197,284,455,425,276,1085,685,379,733,1015,277,395,227,246,292
"BLLJ_RS01235",484,697,874,792,540,498,402,276,460,788,472,633,452,554,509
"BLLJ_RS01240",214,332,429,377,260,400,272,172,289,475,291,493,260,262,246
"BLLJ_RS01245",50,48,73,75,43,34,23,12,39,45,36,49,37,54,30
"BLLJ_RS01250",370,531,746,688,379,598,390,240,359,677,450,561,390,452,369
"BLLJ_RS01255",257,318,427,432,217,680,446,229,475,643,388,554,243,354,307
"BLLJ_RS01260",103,121,167,173,72,124,82,34,96,105,109,186,96,108,83
"BLLJ_RS01265",2301,3334,5343,5216,2794,12581,7805,3599,7268,12803,4435,8673,3946,4158,5781
"BLLJ_RS01270",1160,1531,2103,2047,1358,1204,929,659,1330,2238,1469,1658,1058,1555,1625
"BLLJ_RS01275",357,451,558,599,354,295,212,134,237,335,367,449,252,344,279
"BLLJ_RS11015",117,155,249,202,74,86,77,54,67,109,131,168,75,108,97
"BLLJ_RS01285",586,705,928,905,614,823,503,364,606,803,585,827,529,596,535
"BLLJ_RS01290",1262,1618,1918,2158,1319,2032,1284,737,1625,2659,1403,1850,1282,1566,1266
"BLLJ_RS01295",392,420,583,657,356,701,533,324,579,1091,519,674,342,601,461
"BLLJ_RS01300",1148,1402,1688,2003,1317,2236,1467,987,1780,3424,1557,2134,1350,1780,1618
"BLLJ_RS01305",890,1140,1388,1449,1007,1652,1244,780,1303,2533,1244,1404,938,1364,1213
"BLLJ_RS01310",2270,2916,3597,3861,2525,3281,2349,1553,2545,4895,2734,2980,2022,2792,2555
"BLLJ_RS01315",858,966,1195,1329,950,1126,732,471,858,1446,1038,1151,754,976,974
"BLLJ_RS01320",1424,1864,2402,2406,1567,1904,1401,874,1325,2579,1711,1761,1190,1622,1469
"BLLJ_RS01325",308,407,512,482,305,307,286,156,244,414,304,337,271,286,325
"BLLJ_RS01330",191,265,362,334,162,428,290,158,309,350,228,355,227,231,185
"BLLJ_RS01335",333,562,704,742,385,830,520,270,477,667,435,632,353,420,391
"BLLJ_RS01340",1194,1500,1881,1855,1222,1687,1110,731,1205,1775,1233,1588,1033,1288,1055
"BLLJ_RS01345",770,1080,1532,1603,869,1491,1097,582,1132,1488,1062,1467,913,1030,947
"BLLJ_RS01350",398,650,867,787,447,3482,2588,1861,3043,4486,468,728,456,585,553
"BLLJ_RS01355",352,449,551,587,382,548,397,248,460,633,330,521,319,411,289
"BLLJ_RS01365",154,263,462,414,174,236,180,135,221,394,216,425,271,249,253
"BLLJ_RS01370",446,590,705,749,426,587,420,203,423,638,512,557,319,563,432
"BLLJ_RS01375",294,448,553,537,293,821,493,229,374,659,382,578,276,389,445
"BLLJ_RS01380",281,387,571,574,334,666,473,264,462,583,385,574,340,371,415
"BLLJ_RS01385",24,50,48,44,42,22,6,12,15,22,24,33,26,27,22
"BLLJ_RS01390",11,24,25,17,11,15,6,8,11,10,16,19,9,8,15
"BLLJ_RS01395",2,6,7,8,3,2,3,0,4,10,7,7,1,4,5
"BLLJ_RS01400",20,21,16,31,16,10,4,8,8,10,11,13,8,14,7
"BLLJ_RS01405",195,257,373,345,183,456,253,159,271,427,301,425,237,242,310
"BLLJ_RS01410",271,443,668,637,275,936,521,352,679,902,390,599,379,401,409
"BLLJ_RS01415",464,726,868,917,492,1493,1083,805,1311,2001,453,588,409,393,408
"BLLJ_RS01420",120,198,275,286,187,1642,1138,603,1353,1599,172,303,161,213,222
"BLLJ_RS01425",835,1079,1330,1473,859,2352,1390,1265,2505,3140,893,1260,839,996,713
"BLLJ_RS01430",56,93,85,101,73,65,50,22,46,84,63,62,57,55,58
"BLLJ_RS10235",94,144,161,180,140,133,81,40,88,105,130,142,88,129,98
"BLLJ_RS11360",225,355,565,458,297,451,262,213,382,670,316,408,248,358,313
"BLLJ_RS01460",1790,2721,3456,3613,1946,2969,2313,2077,3777,4832,2534,3402,2301,3142,2810
"BLLJ_RS01465",918,1075,1432,1361,619,1557,1000,350,725,708,1130,1489,700,949,877
"BLLJ_RS01470",390,553,831,840,466,578,413,320,476,687,451,555,492,386,366
"BLLJ_RS01475",84,137,158,140,81,198,110,39,97,177,95,187,100,141,122
"BLLJ_RS01480",149,231,282,268,176,220,172,91,146,222,224,220,136,170,135
"BLLJ_RS01485",139,211,295,314,204,324,203,110,183,308,184,220,148,174,144
"BLLJ_RS01490",55,76,95,116,50,55,42,24,37,61,48,62,33,47,35
"BLLJ_RS01495",538,851,1146,1033,647,763,573,444,810,1731,633,757,565,691,619
"BLLJ_RS01500",405,543,725,698,394,548,358,311,450,764,316,442,334,339,314
"BLLJ_RS01505",4928,7427,9185,10756,5622,14380,9543,5526,11224,14120,6727,10618,6470,7716,6139
"BLLJ_RS01510",462,708,965,904,470,954,727,350,645,1212,602,826,503,613,664
"BLLJ_RS01515",247,430,517,480,243,377,267,156,232,417,283,350,227,243,274
"BLLJ_RS01520",139,197,270,296,172,289,174,104,163,255,182,266,164,220,147
"BLLJ_RS01525",200,273,372,382,177,328,262,110,220,304,236,329,203,245,214
"BLLJ_RS01530",247,335,455,445,277,302,227,171,303,393,197,315,198,238,196
"BLLJ_RS01535",75,91,114,168,93,153,103,67,101,134,96,159,63,101,93
"BLLJ_RS01540",423,578,739,825,379,274,206,120,290,472,353,415,269,431,289
"BLLJ_RS01545",110,200,230,236,147,137,109,37,78,178,171,174,127,159,142
"BLLJ_RS01550",119,146,216,244,124,123,98,68,115,181,142,209,118,155,150
"BLLJ_RS01555",171,237,325,335,162,191,142,51,161,231,216,258,149,215,192
"BLLJ_RS01560",142,204,249,231,157,529,323,158,265,509,202,260,158,172,184
"BLLJ_RS01565",192,246,343,364,233,593,395,223,345,698,247,346,196,245,260
"BLLJ_RS01570",242,348,555,463,299,276,215,115,230,486,260,325,195,283,280
