"","Blongum_20_1_S82_aligned.bam","Blongum_20_2_S83_aligned.bam","Blongum_20_3_S84_aligned.bam","Blongum_20_4_S85_aligned.bam","Blongum_20_5_S86_aligned.bam","Blongum_200_1_S87_aligned.bam","Blongum_200_2_S88_aligned.bam","Blongum_200_3_S89_aligned.bam","Blongum_200_4_S90_aligned.bam","Blongum_200_5_S91_aligned.bam","Blongum_Veh_1_S77_aligned.bam","Blongum_Veh_2_S78_aligned.bam","Blongum_Veh_3_S79_aligned.bam","Blongum_Veh_4_S80_aligned.bam","Blongum_Veh_5_S81_aligned.bam"
"BLLJ_RS03120",283,373,506,603,292,850,579,404,656,617,466,725,380,482,467
"BLLJ_RS03125",63,82,126,98,62,79,28,23,53,70,85,50,45,56,37
"BLLJ_RS11375",790,1035,1483,1372,795,2470,1859,1004,1937,3009,1009,1328,794,938,998
"BLLJ_RS03140",69,93,131,126,59,196,110,57,116,139,105,139,90,96,61
"BLLJ_RS03145",821,940,1497,1325,814,2034,1376,921,1426,2314,1090,1377,855,970,893
"BLLJ_RS03150",418,528,811,764,407,1011,621,496,782,1413,614,753,439,501,710
"BLLJ_RS03155",92,176,183,202,97,94,72,49,85,152,102,130,75,87,93
"BLLJ_RS03160",532,696,876,974,575,1116,710,489,958,1091,772,1150,624,767,709
"BLLJ_RS03165",141,146,187,208,108,145,88,60,128,150,146,172,107,146,85
"BLLJ_RS03170",75,105,112,143,50,96,39,32,60,71,92,100,60,84,75
"BLLJ_RS03175",177,226,302,311,200,374,239,79,177,267,244,237,167,201,193
"BLLJ_RS03180",2616,3625,5074,5371,2961,3439,2780,2051,3426,5879,2651,3426,2569,2886,2359
"BLLJ_RS03185",3398,4331,5462,5360,3777,3262,2308,2327,3833,6435,3747,4168,3125,3764,3247
"BLLJ_RS03190",266,412,464,483,276,377,235,97,194,235,281,437,299,349,303
"BLLJ_RS03195",22,23,25,36,16,30,17,4,13,12,23,33,26,33,19
"BLLJ_RS03200",34,49,70,67,46,28,26,8,25,25,30,27,23,27,24
"BLLJ_RS03205",76,109,123,118,67,59,42,26,49,98,57,71,50,78,50
"BLLJ_RS03210",980,1372,1691,1806,859,1310,913,591,1145,1749,1270,1705,887,1251,1108
"BLLJ_RS03215",189,262,370,417,260,477,345,146,310,436,259,348,252,367,297
"BLLJ_RS03220",10795,14600,18474,18465,9907,9282,7058,3948,6018,11620,9285,9936,7303,9523,7990
"BLLJ_RS03225",59,91,121,129,86,87,50,43,92,143,67,78,50,94,59
"BLLJ_RS03230",246,297,409,395,254,463,361,192,463,584,239,412,269,344,342
"BLLJ_RS03235",248,339,394,359,169,436,270,138,215,365,265,357,252,248,227
"BLLJ_RS03240",3968,6046,8518,8380,4205,5428,4185,2750,4779,10281,4604,5373,3526,4688,4916
"BLLJ_RS03245",4172,6317,8630,9347,5119,9932,6313,5281,11090,15115,6037,10143,6311,6930,5919
"BLLJ_RS03255",2439,3671,4735,5158,2955,4788,3090,1544,3955,5506,4021,6702,3734,5044,4951
"BLLJ_RS03260",392,473,608,651,313,634,406,179,401,596,532,718,376,523,492
"BLLJ_RS03265",619,822,1106,1112,644,1171,687,520,751,1200,766,878,566,624,576
"BLLJ_RS03270",320,463,593,539,323,1230,798,576,1054,1347,407,603,354,399,474
"BLLJ_RS03275",4009,5649,6334,6647,3415,5477,3646,2895,4893,6308,3148,4062,2660,3320,2645
"BLLJ_RS10885",39,50,65,65,36,69,69,33,56,56,46,53,37,47,41
"BLLJ_RS03290",128,208,222,247,121,264,172,81,171,266,163,235,169,196,133
"BLLJ_RS03295",242,321,490,390,308,329,214,121,242,448,254,350,210,252,237
"BLLJ_RS03300",2490,3799,5068,5334,2745,4816,3918,1705,2958,6594,2836,3470,2420,3140,3171
"BLLJ_RS03305",1141,1742,2405,2554,1370,2477,1785,1215,2170,4178,1402,1761,1004,1490,1552
"BLLJ_RS03320",164,233,324,348,165,221,113,59,97,176,177,245,183,147,151
"BLLJ_RS03325",27,58,80,88,44,38,24,8,25,36,42,66,28,54,39
"BLLJ_RS03330",165,257,322,347,209,134,105,54,97,159,153,183,162,202,143
"BLLJ_RS03340",535,774,997,998,528,857,607,280,518,1009,507,735,463,568,440
"BLLJ_RS03345",203,391,407,502,271,324,186,109,211,319,276,391,235,316,216
"BLLJ_RS03350",160,263,328,396,186,312,247,111,269,419,235,371,198,288,274
"BLLJ_RS03355",10,7,22,25,14,32,15,5,23,39,28,30,23,23,19
"BLLJ_RS03360",11,14,20,29,6,17,12,7,9,7,17,18,7,20,7
"BLLJ_RS03365",11,13,16,26,15,22,13,6,13,11,14,21,5,15,14
"BLLJ_RS03370",74,108,138,155,82,182,87,38,150,192,117,186,56,145,111
"BLLJ_RS03375",130,204,231,204,136,262,144,85,193,257,186,320,144,199,135
"BLLJ_RS03380",5,21,18,22,17,15,2,0,5,9,9,5,8,14,6
"BLLJ_RS11380",6,17,24,30,18,15,6,4,10,13,12,19,8,13,14
"BLLJ_RS11385",38,54,103,79,32,48,20,9,34,38,38,49,28,29,28
"BLLJ_RS03390",43,35,45,44,12,73,49,23,41,51,33,61,25,26,30
"BLLJ_RS03395",41,59,67,67,38,77,45,13,55,45,55,93,52,54,57
"BLLJ_RS03400",419,635,830,822,533,298,285,132,237,463,413,472,371,461,336
"BLLJ_RS03405",17819,24375,32721,32005,18555,24339,17058,10164,16918,37097,26597,27205,17259,24043,29744
"BLLJ_RS03410",83,121,135,145,88,86,46,32,76,79,78,121,53,100,83
"BLLJ_RS03415",123,170,238,260,102,174,113,89,162,274,125,135,96,107,110
"BLLJ_RS03420",49,90,98,83,53,69,34,13,52,95,57,65,49,59,60
"BLLJ_RS03425",27,50,62,65,39,33,37,14,33,48,24,48,32,41,31
"BLLJ_RS03430",111,142,194,185,113,166,112,79,134,292,97,116,82,113,109
"BLLJ_RS03435",797,1092,1608,1514,944,839,696,531,981,1852,722,866,577,815,766
"BLLJ_RS03440",212,320,428,453,294,432,237,177,445,530,293,443,161,359,307
"BLLJ_RS03445",17324,23183,27817,29076,18217,30435,23814,11988,21517,33330,16880,17566,11814,17429,14440
"BLLJ_RS03450",1198,1556,1819,1987,1209,1396,1023,519,1163,1295,1105,1336,976,1274,797
"BLLJ_RS03455",1034,1184,1528,1521,970,833,496,438,675,1209,1059,1405,1062,1030,777
"BLLJ_RS03460",412,474,668,654,384,344,215,125,240,381,354,438,332,372,308
"BLLJ_RS03465",2001,2511,3458,3812,2074,2415,1695,781,1559,2699,2121,2413,1714,2166,1701
"BLLJ_RS03470",113,165,194,253,120,161,90,64,112,150,152,162,146,132,107
"BLLJ_RS03475",16,21,24,29,12,25,12,7,11,26,15,25,10,21,10
"BLLJ_RS03480",694,1099,1421,1353,780,4094,3111,1654,3225,4727,847,1216,717,1006,950
"BLLJ_RS03485",794,1320,1782,1742,989,3390,2710,1265,2467,5873,793,1057,603,954,886
"BLLJ_RS03490",643,816,1050,1247,648,2064,1400,762,1612,2097,910,1422,852,1041,840
"BLLJ_RS03505",480,656,979,861,607,1063,751,384,617,1188,538,652,464,453,391
"BLLJ_RS03510",316,393,685,607,371,3711,2408,1513,3181,3504,559,830,387,602,620
"BLLJ_RS03515",85,115,152,158,97,321,225,121,238,323,108,177,83,134,124
"BLLJ_RS03520",223,329,408,508,317,369,266,199,355,639,203,338,216,251,241
"BLLJ_RS03525",263,450,582,573,335,455,337,189,309,593,373,436,296,410,317
"BLLJ_RS03530",93,101,148,155,92,274,169,122,202,277,104,116,66,92,65
"BLLJ_RS03535",55,95,111,142,67,138,102,42,93,134,80,115,66,79,77
"BLLJ_RS03540",18,26,16,39,36,56,20,6,21,63,16,44,24,20,30
"BLLJ_RS03545",186,221,301,344,209,601,421,196,308,510,224,321,175,219,200
"BLLJ_RS03550",166,326,346,390,221,129,113,63,164,219,196,241,121,270,258
"BLLJ_RS03555",377,599,818,747,394,1265,996,393,667,1320,516,605,325,438,659
"BLLJ_RS03560",1285,1778,2501,2384,1257,3311,2519,1348,1708,4089,1498,1993,1370,1337,1909
"BLLJ_RS03565",251,288,489,360,221,653,420,207,303,655,299,348,184,234,220
"BLLJ_RS03570",716,940,1112,1064,512,1147,810,462,813,1005,657,911,520,603,547
"BLLJ_RS03575",336,417,506,498,291,1151,768,311,521,905,357,558,350,382,375
"BLLJ_RS03580",192,270,412,412,222,993,624,339,495,931,289,507,284,280,376
"BLLJ_RS03585",850,1038,1587,1487,787,2178,1357,687,1123,1915,933,1487,921,925,958
"BLLJ_RS03590",228,342,468,465,222,490,286,173,347,531,285,518,291,317,280
"BLLJ_RS03600",182,243,366,354,141,1148,880,291,553,771,204,293,185,200,131
"BLLJ_RS03605",278,398,520,448,261,319,161,112,189,326,328,384,251,283,204
"BLLJ_RS03610",255,320,430,449,288,449,331,164,349,481,272,369,239,256,255
"BLLJ_RS03615",90,104,166,123,84,290,190,79,167,228,109,170,69,107,125
"BLLJ_RS03620",147,198,265,285,157,225,129,121,169,283,194,263,194,197,188
"BLLJ_RS03625",16,30,35,22,14,26,19,19,25,30,24,35,15,24,19
"BLLJ_RS03630",56,76,83,95,56,80,52,26,61,94,67,93,67,52,65
"BLLJ_RS03635",284,349,488,500,253,483,312,159,322,592,323,472,294,311,306
"BLLJ_RS03640",330,337,465,537,294,387,264,114,249,317,305,378,250,282,255
"BLLJ_RS03645",219,313,398,397,249,259,191,126,159,415,276,293,173,237,204
"BLLJ_RS03650",1940,3101,4179,4195,2104,1588,1085,902,1365,3456,1746,1859,1424,1802,1486
"BLLJ_RS03655",208,226,309,328,183,135,108,44,102,140,177,192,124,183,117
"BLLJ_RS03660",125,129,145,166,80,137,108,58,113,123,122,135,110,112,87
"BLLJ_RS03665",191,232,311,343,216,638,429,279,495,736,255,291,208,242,201
"BLLJ_RS03670",101,167,230,203,124,101,59,46,63,160,151,135,91,150,124
"BLLJ_RS03675",4,9,16,19,10,9,8,2,14,13,9,20,9,18,9
"BLLJ_RS03680",576,742,863,934,474,562,351,270,428,770,516,627,389,449,467
"BLLJ_RS03685",206,271,477,472,227,458,316,169,258,523,381,532,275,319,368
"BLLJ_RS03690",50,61,99,103,62,65,58,37,46,88,79,98,63,59,65
"BLLJ_RS03695",121,215,271,264,144,115,97,63,72,172,92,146,106,88,87
"BLLJ_RS03700",55,63,80,87,58,51,35,14,38,63,43,75,41,44,46
"BLLJ_RS03705",83,84,81,128,63,39,21,26,30,59,75,75,49,56,56
"BLLJ_RS03710",52,106,81,142,59,49,37,23,44,63,40,54,70,72,36
"BLLJ_RS03715",277,419,536,595,358,328,216,152,327,524,306,402,233,355,266
"BLLJ_RS03720",105,160,248,268,159,299,191,113,228,356,189,287,186,228,179
"BLLJ_RS03725",16,42,37,37,22,41,29,16,22,43,22,41,23,26,36
"BLLJ_RS03730",93,125,155,192,100,172,130,67,112,159,103,115,73,79,100
"BLLJ_RS03735",86,98,115,111,64,85,43,25,44,71,78,95,67,81,74
"BLLJ_RS03740",52,48,86,77,60,68,36,40,63,94,65,88,50,54,53
"BLLJ_RS03745",59,90,109,141,63,111,61,37,127,134,78,133,79,100,68
"BLLJ_RS03750",689,853,1221,1162,733,538,378,295,451,999,719,867,583,679,583
"BLLJ_RS03755",498,620,885,901,622,827,484,429,695,1115,716,984,519,589,616
"BLLJ_RS03760",264,357,499,569,287,378,268,130,279,440,321,379,267,327,276
"BLLJ_RS03765",76,128,177,184,108,95,72,41,88,121,104,80,83,90,72
"BLLJ_RS03770",26,54,48,55,24,36,17,11,21,23,29,43,22,39,29
"BLLJ_RS03775",25,20,46,54,29,18,17,6,27,26,25,25,14,29,18
"BLLJ_RS03780",4874,7891,9745,10895,4942,3535,3189,1727,2701,5960,3219,3869,3703,4393,2983
"BLLJ_RS03785",104,96,149,148,73,61,34,31,42,85,80,125,90,93,58
"BLLJ_RS03790",533,705,868,885,520,957,594,440,802,1018,501,768,521,505,435
"BLLJ_RS03795",768,1052,1356,1493,714,2954,1831,1003,1850,2481,1043,1547,959,1074,920
"BLLJ_RS11120",259,366,535,580,276,1149,735,357,746,1075,364,588,341,430,439
"BLLJ_RS03805",575,974,1135,1276,618,1566,1207,405,945,1740,699,830,468,727,708
"BLLJ_RS03810",73,123,116,112,63,177,149,49,91,112,94,132,39,112,87
"BLLJ_RS03815",689,857,1113,1115,545,1380,901,432,750,1041,744,1032,650,716,683
"BLLJ_RS03820",97,115,182,151,126,94,51,34,56,100,101,160,102,115,124
"BLLJ_RS03825",153,241,368,354,245,263,222,102,205,408,186,275,161,229,201
"BLLJ_RS03830",104,188,256,246,116,287,182,68,149,350,175,286,133,204,217
"BLLJ_RS03835",86,132,132,125,76,113,85,45,86,181,86,146,82,79,119
"BLLJ_RS03840",79,100,100,115,65,87,74,33,60,95,81,103,74,94,91
"BLLJ_RS03845",1592,2317,3058,3026,1716,1833,1457,709,1317,2445,1686,1946,1255,1704,1287
"BLLJ_RS03850",208,332,480,491,219,872,522,241,467,715,499,813,412,471,564
"BLLJ_RS03855",357,540,715,701,381,4747,3172,1583,2681,4409,452,677,367,481,562
"BLLJ_RS03860",162,233,334,306,162,1253,985,521,954,1548,203,236,170,181,225
"BLLJ_RS03865",179,255,321,364,183,1100,904,505,819,1298,222,225,121,194,216
"BLLJ_RS03870",262,347,457,525,247,1288,1043,480,803,1322,293,381,219,314,328
"BLLJ_RS03875",118,208,262,290,122,830,635,274,311,650,129,209,129,170,174
"BLLJ_RS03880",301,421,609,570,313,919,611,274,405,835,292,417,288,308,221
"BLLJ_RS03885",9301,14139,19845,19685,10936,19476,12329,10925,19799,33357,13180,19966,12719,13601,14171
"BLLJ_RS03890",77,107,155,125,77,112,68,29,74,102,90,87,56,87,60
"BLLJ_RS03900",169,190,264,266,190,183,116,64,119,194,131,189,141,160,108
"BLLJ_RS03905",526,789,973,903,515,880,636,441,670,1095,545,711,362,480,487
"BLLJ_RS03910",236,359,504,428,229,446,326,138,269,511,221,311,154,223,225
"BLLJ_RS03915",111,120,197,153,110,191,138,61,102,198,129,99,66,107,95
"BLLJ_RS03920",87,136,188,161,67,131,98,33,67,107,123,116,53,70,79
"BLLJ_RS03925",967,1289,1752,1869,1045,1039,726,477,871,1283,981,1230,855,985,730
"BLLJ_RS03930",835,1372,1852,2058,1142,1865,1236,855,1654,2883,1326,1685,1017,1394,1249
"BLLJ_RS03935",265,391,479,475,356,492,374,234,384,726,241,339,258,256,289
"BLLJ_RS03940",51,58,85,90,56,93,59,52,70,182,62,82,40,59,54
"BLLJ_RS03945",293,425,647,618,385,573,420,309,400,1010,362,420,283,336,335
"BLLJ_RS03950",572,799,1150,1108,646,936,551,484,846,1190,763,1114,622,764,724
"BLLJ_RS03955",4162,6383,7864,8710,4635,6741,4746,2515,4688,6983,4611,7129,4632,5322,4143
"BLLJ_RS03960",767,1062,1343,1465,853,443,362,287,485,1172,707,698,505,768,619
"BLLJ_RS03965",65,127,152,130,76,178,101,52,160,180,79,136,117,127,85
"BLLJ_RS03970",104,139,180,157,102,157,80,75,116,163,115,192,94,115,101
"BLLJ_RS03975",975,1338,1552,1837,921,1531,1270,457,801,706,1013,1445,1056,1084,901
"BLLJ_RS03980",400,470,565,605,368,500,445,184,356,571,373,438,343,399,291
"BLLJ_RS03985",135,161,196,237,104,168,119,61,113,123,152,179,106,137,84
"BLLJ_RS03990",202,235,361,282,180,279,216,134,222,379,152,290,151,173,191
"BLLJ_RS03995",34,70,79,78,41,41,16,7,19,36,32,35,27,26,35
"BLLJ_RS04000",294,437,599,637,376,381,278,156,312,405,372,462,352,325,285
"BLLJ_RS04005",24,39,63,56,25,40,36,22,40,47,42,58,27,37,28
"BLLJ_RS04010",198,323,395,412,197,250,154,103,182,228,215,295,190,222,207
"BLLJ_RS04015",5,7,11,15,1,4,5,2,4,5,3,7,3,10,2
"BLLJ_RS04020",43,40,54,75,32,31,23,15,29,21,38,63,47,48,29
"BLLJ_RS04025",5809,8103,12597,10847,6650,4336,2050,3596,5850,9388,8933,13912,9121,8455,8339
"BLLJ_RS04030",187,208,284,225,144,270,125,135,225,401,264,346,178,212,268
"BLLJ_RS04035",631,917,1156,1150,578,906,625,291,540,969,768,934,507,645,620
"BLLJ_RS04040",230,322,397,394,284,285,249,101,169,337,236,275,165,239,209
"BLLJ_RS04045",958,1544,1935,1948,938,1789,1181,707,1366,2455,1278,1630,1027,1249,1187
"BLLJ_RS04050",325,418,622,605,305,540,383,147,387,568,410,519,321,423,388
"BLLJ_RS04055",649,862,1301,1349,786,2225,1399,652,1622,1952,968,1526,766,990,879
"BLLJ_RS04060",3549,5263,7079,6874,4591,3940,2521,2569,4340,9025,4515,5665,3831,4582,4257
"BLLJ_RS04065",413,622,787,789,438,522,381,317,433,998,471,515,392,523,475
"BLLJ_RS04070",169,201,289,275,136,345,212,113,193,344,241,338,172,183,217
"BLLJ_RS04075",16,34,46,26,29,45,21,14,28,51,38,50,27,22,26
"BLLJ_RS04080",121,183,194,218,115,562,364,200,391,502,127,218,99,141,102
"BLLJ_RS04085",341,490,673,673,396,5044,3227,2726,5098,6196,461,745,381,481,500
"BLLJ_RS10895",15,26,33,42,7,44,11,15,28,29,25,32,24,28,21
"BLLJ_RS11390",14,18,45,55,17,62,35,13,29,54,37,54,21,37,39
"BLLJ_RS04090",54,63,107,112,67,53,41,17,48,67,54,62,45,73,56
"BLLJ_RS04095",21,27,24,31,27,5,9,1,8,10,24,30,8,17,12
"BLLJ_RS04100",6,13,26,16,13,3,4,1,5,7,9,6,9,19,8
"BLLJ_RS04105",13,22,18,22,16,9,7,1,6,19,11,18,12,21,8
"BLLJ_RS10085",5,15,16,14,2,2,6,7,4,2,7,9,8,9,8
"BLLJ_RS10355",39,46,95,117,57,118,78,65,73,74,87,110,79,68,74
"BLLJ_RS04115",132,187,345,301,179,403,202,167,287,511,194,313,155,185,187
"BLLJ_RS11395",48,77,103,110,64,96,63,28,60,84,136,208,100,178,128
"BLLJ_RS11400",11,10,24,20,8,13,6,4,8,9,20,19,9,20,10
"BLLJ_RS04125",52,68,72,90,38,62,53,32,63,100,55,117,54,67,59
"BLLJ_RS04130",30,52,50,36,25,48,39,26,40,67,29,54,57,34,35
"BLLJ_RS11405",6,2,4,7,3,8,2,2,3,11,9,10,11,7,12
"BLLJ_RS04140",24,31,37,38,6,38,15,7,17,20,15,27,10,22,20
"BLLJ_RS04145",285,368,460,463,251,556,341,179,305,413,340,528,278,373,308
"BLLJ_RS04155",680,1096,1425,1313,797,510,304,234,432,882,675,847,515,663,497
"BLLJ_RS04160",178,250,462,410,198,655,477,260,529,853,406,658,339,472,564
"BLLJ_RS04165",461,637,921,867,488,1487,916,695,1037,2172,611,959,595,498,603
"BLLJ_RS04170",89,136,187,143,112,290,179,123,212,372,131,204,111,133,152
"BLLJ_RS04175",592,799,979,970,652,993,750,425,824,1263,551,766,464,579,508
"BLLJ_RS04180",293,402,485,600,318,496,298,174,385,479,382,583,407,396,344
"BLLJ_RS04185",579,841,1040,1161,746,627,421,248,434,736,591,819,531,705,602
"BLLJ_RS04190",69,140,165,173,86,115,59,36,69,121,84,88,61,106,113
"BLLJ_RS04195",1900,2576,3760,3713,2231,14864,10058,7195,10443,20163,2640,3369,2095,2436,3170
"BLLJ_RS04200",1412,2134,3022,2807,1667,3329,2422,1497,2562,4517,1578,2072,1402,1837,1635
"BLLJ_RS04205",884,1252,1575,1674,936,812,548,297,614,953,767,963,570,857,656
"BLLJ_RS04210",98,179,231,227,139,98,82,54,104,172,111,177,56,131,105
"BLLJ_RS04215",249,363,515,460,272,305,195,94,188,390,254,274,161,223,215
"BLLJ_RS04220",110,140,174,189,91,120,90,45,85,141,86,124,74,87,75
"BLLJ_RS04225",95,121,185,173,108,113,68,24,63,115,103,145,74,128,89
"BLLJ_RS04230",70,102,148,136,83,83,95,34,32,73,60,77,60,81,87
"BLLJ_RS04235",658,905,1411,1374,795,849,705,446,743,1421,689,839,706,754,727
"BLLJ_RS11260",4,3,4,4,3,6,0,5,3,6,2,12,1,13,1
"BLLJ_RS04240",201,324,442,446,243,515,333,309,482,636,276,459,284,256,257
"BLLJ_RS04245",400,640,781,827,429,491,326,172,444,515,419,628,359,453,339
"BLLJ_RS04250",104,130,176,204,109,186,118,88,111,225,123,168,92,134,118
"BLLJ_RS04255",323,427,566,581,359,238,183,185,273,429,257,363,228,300,215
"BLLJ_RS04260",1135,1612,2060,2262,1242,1966,1448,983,2075,3138,1272,1795,1090,1608,1452
"BLLJ_RS04265",27,37,42,55,33,44,26,11,26,38,46,58,24,53,35
"BLLJ_RS10360",20,33,25,30,30,17,10,2,16,13,21,21,20,31,22
"BLLJ_RS04270",73,118,133,147,94,87,48,35,38,70,96,125,57,83,70
"BLLJ_RS04280",142,174,298,225,120,239,138,76,124,241,194,257,148,157,133
"BLLJ_RS11125",10,13,21,15,11,18,13,5,9,15,6,9,12,13,5
"BLLJ_RS11130",30,57,75,60,58,100,65,26,70,79,58,100,52,46,45
"BLLJ_RS04295",125,153,172,193,95,157,114,35,84,126,134,149,85,93,122
"BLLJ_RS11320",52,33,64,56,45,43,21,14,19,56,53,74,33,50,31
"BLLJ_RS04305",375,483,531,693,263,358,209,108,273,313,313,414,335,337,260
"BLLJ_RS04310",35,27,45,21,24,27,13,10,17,29,41,35,14,22,14
"BLLJ_RS04315",19,21,24,24,16,14,6,13,6,11,13,38,20,19,20
"BLLJ_RS04325",33,20,35,39,25,26,14,9,15,27,21,26,22,18,8
"BLLJ_RS04330",119,189,223,271,175,268,153,101,210,286,170,239,135,153,189
"BLLJ_RS04335",24,34,36,37,27,53,32,17,27,44,29,47,29,24,28
"BLLJ_RS11135",32,55,49,83,33,67,31,13,59,65,36,84,53,63,52
"BLLJ_RS04350",42,67,80,79,45,54,38,16,36,66,56,76,40,34,36
"BLLJ_RS11140",77,89,147,147,74,109,73,37,72,101,94,129,82,87,64
"BLLJ_RS04360",222,302,376,419,221,489,285,138,331,392,263,466,241,333,216
"BLLJ_RS04365",103,136,210,186,97,277,139,114,145,245,178,238,171,151,129
"BLLJ_RS04370",182,213,295,302,151,417,250,113,258,293,204,282,179,205,164
"BLLJ_RS04375",40,51,62,57,27,183,121,37,136,93,36,66,21,39,25
"BLLJ_RS04380",24,34,43,45,34,67,56,31,50,83,40,56,33,27,32
"BLLJ_RS04385",76,82,126,111,76,151,110,45,111,134,86,120,72,92,73
"BLLJ_RS11410",11,20,46,37,18,42,24,14,20,29,33,40,19,26,20
"BLLJ_RS04395",114,134,177,238,125,139,85,45,79,140,104,155,93,113,107
"BLLJ_RS04400",139,170,202,267,117,207,117,62,140,137,164,243,148,175,172
"BLLJ_RS04405",235,394,462,485,348,254,177,97,208,325,225,327,226,243,199
"BLLJ_RS04410",211,226,346,352,236,576,330,142,353,558,279,422,238,295,268
"BLLJ_RS04415",87,136,200,210,123,158,95,65,136,193,129,201,107,114,104
"BLLJ_RS04420",129,188,221,315,142,146,116,56,126,188,109,169,114,128,128
"BLLJ_RS04425",34,83,92,76,43,40,34,10,41,46,42,31,29,47,35
"BLLJ_RS04430",375,491,689,693,397,629,497,322,507,1072,315,486,352,347,340
"BLLJ_RS04435",246,352,459,412,302,369,250,176,323,784,308,325,202,278,335
"BLLJ_RS04440",50,69,107,83,72,91,83,51,79,114,70,70,29,71,80
"BLLJ_RS04445",351,446,606,592,362,508,421,230,343,712,394,463,301,371,387
"BLLJ_RS04450",275,336,483,446,261,641,373,168,322,436,326,496,291,322,278
"BLLJ_RS04455",116,142,161,166,89,215,142,76,97,153,110,154,80,123,103
"BLLJ_RS04460",172,188,280,300,150,462,263,148,269,385,199,321,183,213,136
"BLLJ_RS04465",175,223,267,307,123,535,286,137,287,375,229,314,170,222,182
"BLLJ_RS04470",1065,1318,1760,1657,1044,1526,951,646,1214,1756,1059,1506,1054,1068,848
"BLLJ_RS04475",1624,2261,2689,3291,1709,2988,1995,1008,2252,2761,2402,3912,2268,2912,2227
"BLLJ_RS04480",48,79,107,73,39,90,69,26,41,56,49,95,45,101,68
"BLLJ_RS04485",29,51,43,84,40,44,22,10,29,49,22,45,23,47,37
"BLLJ_RS04490",6,6,7,12,2,3,3,1,5,5,7,10,0,6,7
"BLLJ_RS04495",67,87,105,119,53,29,43,13,25,59,40,52,48,61,43
"BLLJ_RS04500",10,10,16,26,8,17,9,1,6,11,11,6,7,7,8
"BLLJ_RS04505",52,92,99,125,64,92,65,31,43,67,47,94,58,64,60
"BLLJ_RS04510",10,14,8,15,11,5,12,2,4,9,10,18,4,11,8
"BLLJ_RS10400",3,3,8,6,3,7,6,0,3,6,8,7,2,5,6
"BLLJ_RS04515",1,5,5,5,2,1,0,0,5,6,2,3,1,1,5
"BLLJ_RS04520",26,47,39,41,21,29,18,8,23,39,43,43,15,28,39
"BLLJ_RS04525",53,81,86,101,56,49,36,19,40,51,70,67,51,58,34
"BLLJ_RS04530",9,29,21,15,8,12,3,4,6,8,12,15,20,10,3
"BLLJ_RS04535",5,8,7,6,9,3,2,2,2,2,3,2,1,8,5
"BLLJ_RS04540",33,20,44,45,25,26,24,14,18,31,41,40,21,31,17
"BLLJ_RS04545",440,512,679,675,401,956,581,368,646,1037,544,777,444,502,482
"BLLJ_RS04550",145,232,250,306,179,393,255,151,265,373,188,344,160,207,202
"BLLJ_RS04555",1584,1948,2509,2674,1440,1708,1117,920,1581,2641,1483,2021,1248,1696,1258
"BLLJ_RS04560",85,128,187,186,128,139,71,33,90,156,92,133,70,137,81
"BLLJ_RS04565",265,383,470,480,243,459,341,183,316,387,340,494,297,395,354
"BLLJ_RS04570",77,109,116,149,49,168,103,59,152,155,114,162,101,149,110
"BLLJ_RS04575",104,139,143,158,118,203,134,81,134,182,114,154,97,143,93
"BLLJ_RS04580",74,79,158,126,107,72,54,24,37,74,58,65,55,84,28
"BLLJ_RS04585",76,101,167,160,79,91,58,39,70,87,100,147,78,116,92
"BLLJ_RS04590",478,615,795,961,586,374,259,165,333,549,505,615,438,543,370
"BLLJ_RS04595",139,225,280,276,175,123,85,51,100,178,131,152,110,149,132
"BLLJ_RS04600",30,54,72,80,36,46,32,7,23,44,32,55,41,29,21
"BLLJ_RS11030",3,6,2,3,0,3,2,0,0,6,2,1,0,0,1
"BLLJ_RS04605",19,13,11,12,20,4,6,2,9,2,10,9,9,10,7
"BLLJ_RS04610",1,3,7,8,3,1,2,2,1,1,2,2,4,7,0
"BLLJ_RS04615",3,9,24,21,15,9,7,2,5,14,6,8,7,9,3
"BLLJ_RS04620",0,8,4,10,7,1,3,0,1,2,3,6,9,2,1
"BLLJ_RS11265",0,0,0,3,0,1,0,1,1,4,3,2,1,1,0
"BLLJ_RS11035",0,3,0,4,2,0,0,2,1,2,1,1,0,1,0
"BLLJ_RS04625",36,55,89,92,59,38,25,10,31,36,53,66,37,53,54
"BLLJ_RS04630",11,18,20,13,7,4,3,5,4,11,4,13,5,15,7
"BLLJ_RS04635",11,13,29,22,15,3,2,2,2,10,8,7,5,6,7
"BLLJ_RS04640",8,4,9,10,7,0,0,3,5,3,3,5,0,6,1
"BLLJ_RS04645",26,29,42,39,28,24,11,7,17,19,30,37,23,27,26
"BLLJ_RS04650",12,22,26,19,27,18,8,0,6,20,7,14,4,9,3
"BLLJ_RS04655",35,33,72,64,35,19,13,6,15,28,20,37,23,16,19
"BLLJ_RS04660",24,13,23,17,23,13,6,3,6,12,21,16,10,23,6
"BLLJ_RS04665",119,182,212,193,116,78,62,32,69,70,82,82,48,97,84
"BLLJ_RS04670",1481,1914,2509,2563,1454,1863,1283,803,1649,2034,1742,2337,1446,1646,1790
"BLLJ_RS04675",139,146,183,175,87,87,52,29,25,76,96,107,88,98,63
"BLLJ_RS04680",31,48,55,50,41,21,8,5,10,16,18,29,16,36,15
"BLLJ_RS04685",12,13,17,16,10,4,2,3,4,6,3,7,5,4,4
